#z=10.35
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   0.90721139837
0.517632461921   0.909417552095
0.535886731268   0.910307355132
0.554784736034   0.911490447062
0.574349177499   0.913027335495
0.594603557501   0.914990293393
0.615572206672   0.917425653536
0.63728031366   0.920474522497
0.659753955386   0.924206428385
0.683020128377   0.921756564505
0.707106781187   0.941767772657
0.732042847973   0.889252756513
0.757858283255   0.824101184918
0.784584097897   0.783826969125
0.812252396356   0.731905205604
0.840896415254   0.666480967088
0.870550563296   0.584409032267
0.901250462611   0.482419884204
0.933032991537   0.356817762886
0.965936328925   0.203473677025
1.0   0.00118609993298
1.03526492384   0.00107997299311
1.07177346254   0.001003287721
1.10956947207   0.000945112725744
1.148698355   0.000902003675888
1.189207115   0.000870990246621
1.23114441334   0.000849548902567
1.27456062732   0.000835567890661
1.31950791077   0.000827307277387
1.36604025675   0.000823356378032
1.41421356237   0.000822590436789
1.46408569595   0.000824128013995
1.51571656651   0.000827290256982
1.56916819579   0.000831563055253
1.62450479271   0.000836562950621
1.68179283051   0.000842007517978
1.74110112659   0.000847690697455
1.80250092522   0.000857751141471
1.86606598307   0.000859217916933
1.93187265785   0.000864879132568
2.0   0.000870395496796
2.07052984768   0.000875734743935
2.14354692507   0.000880879676482
2.21913894414   0.000885824456702
2.29739670999   0.00089057083958
2.37841423001   0.000895124362316
2.46228882669   0.000899490834439
2.54912125464   0.000903673634923
2.63901582155   0.000907672273402
2.73208051351   0.000911482427365
2.82842712475   0.000915097305139
2.92817139189   0.000918509831276
3.03143313302   0.000921714848777
3.13833639159   0.00092471032452
3.24900958542   0.000927491353449
3.36358566101   0.000929984618932
3.48220225318   0.00093154000254
3.60500185044   0.000927834142561
3.73213196615   0.000895888081414
3.8637453157   0.00073580420755
4.0   2.15956764537e-54
4.14105969537   6.76982914046e-52
4.28709385015   3.54190813683e-49
4.43827788827   1.33380500813e-46
4.59479341999   3.61448933913e-44
4.75682846001   7.09812699683e-42
4.92457765338   1.02025592559e-39
5.09824250928   1.08547510349e-37
5.27803164309   8.64997976253e-36
5.46416102702   5.22601483035e-34
5.65685424949   2.42343518438e-32
5.85634278378   8.73302872629e-31
6.06286626604   2.47584522374e-29
6.27667278317   5.58999748457e-28
6.49801917085   1.017316207e-26
6.72717132203   1.51000612906e-25
6.96440450637   1.8491551298e-24
7.21000370089   1.88922415446e-23
7.46426393229   1.62773960239e-22
7.7274906314   1.19500939652e-21
8.0   7.54994511975e-21
8.28211939073   4.14385578319e-20
8.57418770029   1.99367713018e-19
8.87655577654   8.4799867911e-19
9.18958683998   3.21462484441e-18
9.51365692002   1.09439695587e-17
9.84915530676   3.37024476095e-17
10.1964850186   9.45255163197e-17
10.5560632862   2.43014671065e-16
10.928322054   5.76171272235e-16
11.313708499   1.26707049878e-15
11.7126855676   2.59859399458e-15
12.1257325321   4.99569894653e-15
12.5533455663   9.04665687855e-15
12.9960383417   1.55030787624e-14
13.4543426441   2.52514498369e-14
13.9288090127   3.92550086844e-14
14.4200074018   5.84722914793e-14
14.9285278646   8.37649319974e-14
15.4549812628   1.15810199889e-13
16.0   1.55032488469e-13
16.5642387815   2.0156331018e-13
17.1483754006   2.55233113071e-13
17.7531115531   3.1559231762e-13
18.37917368   3.81954744911e-13
19.02731384   4.53454585436e-13
19.6983106135   5.29108052009e-13
20.3929700371   6.07872278272e-13
21.1121265724   6.88696176994e-13
21.8566441081   7.70560272884e-13
22.627416998   8.52504571973e-13
23.4253711351   9.33645111042e-13
24.2514650642   1.01318088355e-12
25.1066911327   1.09039340028e-12
25.9920766834   1.16464130482e-12
26.9086852881   1.23535233479e-12
27.8576180255   1.30201460355e-12
28.8400148035   1.36416875791e-12
29.8570557292   1.42140210854e-12
30.9099625256   1.4733453729e-12
32.0   1.51967224283e-12
33.1284775629   1.56010160913e-12
34.2967508012   1.59440195722e-12
35.5062231062   1.6223972052e-12
36.7583473599   1.64397310138e-12
38.0546276801   1.65908324135e-12
39.396621227   1.6677538099e-12
40.7859400742   1.67008629375e-12
42.2242531447   1.6662576297e-12
43.7132882161   1.6565175221e-12
45.2548339959   1.64118294801e-12
46.8507422703   1.6206301332e-12
48.5029301283   1.59528449524e-12
50.2133822654   1.5656091924e-12
51.9841533668   1.53209297835e-12
53.8173705762   1.49523804873e-12
55.715236051   1.45554848917e-12
57.6800296071   1.41351981447e-12
59.7141114584   1.36962994702e-12
61.8199250512   1.32433183776e-12
64.0   1.27804780016e-12
66.2569551258   1.23116551701e-12
68.5935016023   1.18403559545e-12
71.0124462123   1.13697048925e-12
73.5166947198   1.09024457582e-12
76.1092553602   1.04409516509e-12
78.7932424541   9.98724223152e-13
81.5718801484   9.5430061045e-13
84.4485062895   9.10962658488e-13
87.4265764323   8.68820935902e-13
90.5096679919   8.27961082727e-13
93.7014845405   7.88446617988e-13
97.0058602567   7.50321649669e-13
100.426764531   7.13613436789e-13
103.968306734   6.78334770648e-13
107.634741152   6.44486156313e-13
111.430472102   6.12057786401e-13
115.360059214   5.81031307502e-13
119.428222917   5.51381385616e-13
123.639850102   5.23077081146e-13
128.0   4.96083046606e-13
132.513910252   4.7036056172e-13
137.187003205   4.45868421163e-13
142.024892425   4.22563690163e-13
147.03338944   4.00402342655e-13
152.21851072   3.79339795891e-13
157.586484908   3.59331354406e-13
163.143760297   3.40332575138e-13
168.897012579   3.22299564383e-13
174.853152865   3.05189216161e-13
181.019335984   2.88959400471e-13
187.402969081   2.73569108943e-13
194.011720513   2.58978564456e-13
200.853529062   2.45149300435e-13
207.936613467   2.32044214794e-13
215.269482305   2.19627602815e-13
222.860944204   2.0786517263e-13
230.720118428   1.96724046471e-13
238.856445833   1.86172750358e-13
247.279700205   1.76181194516e-13
256.0   1.66720646448e-13
265.027820503   1.5776369829e-13
274.374006409   1.49284229802e-13
284.049784849   1.4125736816e-13
294.066778879   1.33659445468e-13
304.437021441   1.26467954798e-13
315.172969816   1.19661505389e-13
326.287520594   1.13219777545e-13
337.794025158   1.07123477649e-13
349.706305729   1.01354293643e-13
362.038671968   9.58948512453e-14
374.805938162   9.07286711201e-14
388.023441027   8.58401271612e-14
401.707058123   8.1214406014e-14
415.873226934   7.68374679229e-14
430.53896461   7.26960089663e-14
445.721888408   6.87774247135e-14
461.440236857   6.50697753228e-14
477.712891667   6.15617520834e-14
494.55940041   5.82426453899e-14
512.0   5.51023141304e-14
530.055641007   5.21311564606e-14
548.748012819   4.93200819301e-14
568.099569699   4.66604849223e-14
588.133557758   4.41442193673e-14
608.874042881   4.17635746835e-14
630.345939633   3.9511252903e-14
652.575041187   3.73803469338e-14
675.588050316   3.53643199145e-14
699.412611458   3.34569856124e-14
724.077343935   3.16524898222e-14
749.611876324   2.99452927186e-14
776.046882053   2.83301521198e-14
803.414116246   2.68021076189e-14
831.746453869   2.53564655421e-14
861.07792922   2.39887846929e-14
891.443776815   2.26948628455e-14
922.880473713   2.14707239478e-14
955.425783334   2.03126060013e-14
989.118800819   1.92169495809e-14
1024.0   1.81803869647e-14
1060.11128201   1.719973184e-14
1097.49602564   1.6271969558e-14
1136.1991394   1.53942479078e-14
1176.26711552   1.45638683822e-14
1217.74808576   1.37782779104e-14
1260.69187927   1.30350610334e-14
1305.15008237   1.23319324974e-14
1351.17610063   1.1666730245e-14
1398.82522292   1.10374087811e-14
1448.15468787   1.04420328959e-14
1499.22375265   9.87877172427e-15
1552.09376411   9.34589312398e-15
1606.82823249   8.84175835681e-15
1663.49290774   8.36481705501e-15
1722.15585844   7.91360245866e-15
1782.88755363   7.48672690928e-15
1845.76094743   7.08287758597e-15
1910.85156667   6.70081247099e-15
1978.23760164   6.33935653263e-15
2048.0   5.99739811366e-15
2120.22256403   5.67388551422e-15
2194.99205127   5.36782375889e-15
2272.39827879   5.07827153793e-15
2352.53423103   4.80433831326e-15
2435.49617153   4.54518158055e-15
2521.38375853   4.30000427876e-15
2610.30016475   4.06805233938e-15
2702.35220126   3.84861236774e-15
2797.65044583   3.64100944936e-15
2896.30937574   3.44460507457e-15
2998.4475053   3.258795175e-15
3104.18752821   3.08300826595e-15
3213.65646499   2.91670368896e-15
3326.98581548   2.75936994914e-15
3444.31171688   2.6105231421e-15
3565.77510726   2.46970546583e-15
3691.52189485   2.33648381272e-15
3821.70313333   2.21044843761e-15
3956.47520328   2.09121169758e-15
4096.0   1.97840685981e-15
