#z=5.8
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   33.185302155
0.517632461921   32.9791920507
0.535886731268   32.7252915571
0.554784736034   32.407284532
0.574349177499   32.0130948102
0.594603557501   31.5292385626
0.615572206672   30.9408935645
0.63728031366   30.2318749312
0.659753955386   29.2852943208
0.683020128377   28.2713167152
0.707106781187   27.082767447
0.732042847973   25.5736626107
0.757858283255   23.1594616867
0.784584097897   21.2501704311
0.812252396356   19.091995311
0.840896415254   16.6707148396
0.870550563296   13.9747780955
0.901250462611   10.9959576438
0.933032991537   7.5398507552
0.965936328925   3.98013555874
1.0   0.0995221178959
1.03526492384   0.0886579301379
1.07177346254   0.0812235001735
1.10956947207   0.0755291688188
1.148698355   0.0712152631809
1.189207115   0.0679835740571
1.23114441334   0.0655898846243
1.27456062732   0.0638367412782
1.31950791077   0.0625666217694
1.36604025675   0.0616556071767
1.41421356237   0.0610076230019
1.46408569595   0.0605492843434
1.51571656651   0.0602253604529
1.56916819579   0.0599948615725
1.62450479271   0.0598277409286
1.68179283051   0.0597021927596
1.74110112659   0.0596025110422
1.80250092522   0.0602853510112
1.86606598307   0.0594390388916
1.93187265785   0.0593616801062
2.0   0.0592815724452
2.07052984768   0.0591962367074
2.14354692507   0.059104157139
2.21913894414   0.0590044694631
2.29739670999   0.0588966843049
2.37841423001   0.0587804519098
2.46228882669   0.0586553820115
2.54912125464   0.0585209221553
2.63901582155   0.0583759131471
2.73208051351   0.0582204315656
2.82842712475   0.0580530454037
2.92817139189   0.0578793019109
3.03143313302   0.0574368338566
3.13833639159   0.0568496290093
3.24900958542   0.0557884073918
3.36358566101   0.0538431795992
3.48220225318   0.0503658759229
3.60500185044   0.0444157370439
3.73213196615   0.0327819486568
3.8637453157   0.0167215269302
4.0   5.20208837557e-15
4.14105969537   1.00380966495e-14
4.28709385015   3.19415108431e-14
4.43827788827   9.90598725412e-14
4.59479341999   2.95450984192e-13
4.75682846001   8.4358018642e-13
4.92457765338   2.30276106438e-12
5.09824250928   6.00886808614e-12
5.27803164309   1.49931418435e-11
5.46416102702   3.57911181163e-11
5.65685424949   8.17948157479e-11
5.85634278378   1.79092584273e-10
6.06286626604   3.76017349618e-10
6.27667278317   7.57764865942e-10
6.49801917085   1.46727987284e-09
6.72717132203   2.73296238325e-09
6.96440450637   4.90250752064e-09
7.21000370089   8.48040625736e-09
7.46426393229   1.41645724888e-08
7.7274906314   2.28757201755e-08
8.0   3.57721123961e-08
8.28211939073   5.42426944886e-08
8.57418770029   7.98736720463e-08
8.87655577654   1.1438712541e-07
9.18958683998   1.59554635355e-07
9.51365692002   2.17093200184e-07
9.84915530676   2.88553992959e-07
10.1964850186   3.75216031252e-07
10.5560632862   4.77996341099e-07
10.928322054   5.97385893963e-07
11.313708499   7.33417044128e-07
11.7126855676   8.85664127594e-07
12.1257325321   1.05327501099e-06
12.5533455663   1.23502824502e-06
12.9960383417   1.42940839962e-06
13.4543426441   1.63469123307e-06
13.9288090127   1.8490304903e-06
14.4200074018   2.07053913094e-06
14.9285278646   2.29735938409e-06
15.4549812628   2.52771792426e-06
16.0   2.75996439457e-06
16.5642387815   2.99259325012e-06
17.1483754006   3.22425030563e-06
17.7531115531   3.4537263679e-06
18.37917368   3.67994090456e-06
19.02731384   3.90191889363e-06
19.6983106135   4.11876389442e-06
20.3929700371   4.32963008016e-06
21.1121265724   4.53369556865e-06
21.8566441081   4.73013895204e-06
22.627416998   4.91812050703e-06
23.4253711351   5.0967691798e-06
24.2514650642   5.26517608724e-06
