#z=10.15
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   2.30087608626
0.517632461921   2.30131878138
0.535886731268   2.30364823234
0.554784736034   2.30671115723
0.574349177499   2.31065505899
0.594603557501   2.31565261075
0.615572206672   2.32186529791
0.63728031366   2.32953960587
0.659753955386   2.33659111283
0.683020128377   25.1883638211
0.707106781187   2.26463614543
0.732042847973   2.2148343351
0.757858283255   2.04576377863
0.784584097897   1.92131846844
0.812252396356   1.78148797194
0.840896415254   1.60636173498
0.870550563296   1.38902027115
0.901250462611   1.12163870894
0.933032991537   0.795443033433
0.965936328925   0.400691521659
1.0   0.00319856247771
1.03526492384   0.0028370536442
1.07177346254   0.00263156390391
1.10956947207   0.00247544173646
1.148698355   0.00235944144767
1.189207115   0.00227561061803
1.23114441334   0.00221720914338
1.27456062732   0.00217860901206
1.31950791077   0.00215518227623
1.36604025675   0.00214318335658
1.41421356237   0.00213963050538
1.46408569595   0.00214219016705
1.51571656651   0.00214906721272
1.56916819579   0.00215890353696
1.62450479271   0.0021706871421
1.68179283051   0.00218367342064
1.74110112659   0.00219731973759
1.80250092522   0.00226970907183
1.86606598307   0.00222513344622
1.93187265785   0.00223882094639
2.0   0.00225216122773
2.07052984768   0.00226506924446
2.14354692507   0.00227749898219
2.21913894414   0.00228943370638
2.29739670999   0.00230087619478
2.37841423001   0.00231183896252
2.46228882669   0.0023223353234
2.54912125464   0.00233237254113
2.63901582155   0.00234194819988
2.73208051351   0.00235105030635
2.82842712475   0.00235966072712
2.92817139189   0.00236776068284
3.03143313302   0.00237533599263
3.13833639159   0.00238237484973
3.24900958542   0.00238880545418
3.36358566101   0.0023939451491
3.48220225318   0.00239289488924
3.60500185044   0.0023578160911
3.73213196615   0.0021600163973
3.8637453157   0.00130691002715
4.0   1.75918826706e-51
4.14105969537   1.65997805228e-50
4.28709385015   7.52454520856e-48
4.43827788827   2.48142851588e-45
4.59479341999   5.94801693691e-43
4.75682846001   1.04291293909e-40
4.92457765338   1.35015197757e-38
5.09824250928   1.30434673975e-36
5.27803164309   9.50980712571e-35
5.46416102702   5.29371700325e-33
5.65685424949   2.27658538402e-31
5.85634278378   7.65420804763e-30
6.06286626604   2.03594372907e-28
6.27667278317   4.33511580889e-27
6.49801917085   7.47583516639e-26
6.72717132203   1.05609982264e-24
6.96440450637   1.23589590534e-23
7.21000370089   1.21114950495e-22
7.46426393229   1.0043921246e-21
7.7274906314   7.11996401854e-21
8.0   4.35630086323e-20
8.28211939073   2.32182847219e-19
8.57418770029   1.0874962551e-18
8.87655577654   4.51367755715e-18
9.18958683998   1.67327683022e-17
9.51365692002   5.58192498141e-17
9.84915530676   1.68750750967e-16
10.1964850186   4.65425235614e-16
10.5560632862   1.1785089018e-15
10.928322054   2.75600028134e-15
11.313708499   5.98593132682e-15
11.7126855676   1.21394858047e-14
12.1257325321   2.31031730088e-14
12.5533455663   4.14589136292e-14
12.9960383417   7.04700576657e-14
13.4543426441   1.13945415137e-13
13.9288090127   1.75980183198e-13
14.4200074018   2.60603970494e-13
14.9285278646   3.71391093886e-13
15.4549812628   5.11098450881e-13
16.0   6.81389043967e-13
16.5642387815   8.82678540659e-13
17.1483754006   1.11411581551e-12
17.7531115531   1.37368413258e-12
18.37917368   1.65839280996e-12
19.02731384   1.9645216901e-12
19.6983106135   2.28788148663e-12
20.3929700371   2.62405951448e-12
21.1121265724   2.96862955506e-12
21.8566441081   3.31731426417e-12
22.627416998   3.6660969901e-12
23.4253711351   4.01128631019e-12
24.2514650642   4.34954080312e-12
25.1066911327   4.67786374366e-12
25.9920766834   4.99357793702e-12
26.9086852881   5.29429026705e-12
27.8576180255   5.57785414772e-12
28.8400148035   5.84233628742e-12
29.8570557292   6.08599225312e-12
30.9099625256   6.30725341954e-12
32.0   6.50472611274e-12
33.1284775629   6.67720217675e-12
34.2967508012   6.82367886335e-12
35.5062231062   6.9433849248e-12
36.7583473599   7.03580913264e-12
38.0546276801   7.10072719796e-12
39.396621227   7.13822324933e-12
40.7859400742   7.14870261312e-12
42.2242531447   7.13289356561e-12
43.7132882161   7.09183687277e-12
45.2548339959   7.02686315277e-12
46.8507422703   6.93955923652e-12
48.5029301283   6.83172562857e-12
50.2133822654   6.70532779365e-12
51.9841533668   6.56244427496e-12
53.8173705762   6.40521460266e-12
55.715236051   6.23578963324e-12
57.6800296071   6.05628645302e-12
59.7141114584   5.86874937339e-12
61.8199250512   5.67511792279e-12
64.0   5.47720216723e-12
66.2569551258   5.27666521003e-12
68.5935016023   5.07501235466e-12
71.0124462123   4.87358616605e-12
73.5166947198   4.67356652559e-12
76.1092553602   4.47597472629e-12
78.7932424541   4.2816806763e-12
81.5718801484   4.09141234954e-12
84.4485062895   3.90576672356e-12
87.4265764323   3.72522156065e-12
90.5096679919   3.5501475071e-12
93.7014845405   3.38082009904e-12
97.0058602567   3.21743136619e-12
100.426764531   3.06010081382e-12
103.968306734   2.90888563868e-12
107.634741152   2.76379009473e-12
111.430472102   2.62477397252e-12
115.360059214   2.49176019192e-12
119.428222917   2.36464153437e-12
123.639850102   2.24328655863e-12
128.0   2.12754475601e-12
132.513910252   2.01725100739e-12
137.187003205   1.91222940721e-12
142.024892425   1.81229651944e-12
147.03338944   1.71726412852e-12
152.21851072   1.62694154488e-12
157.586484908   1.54113752033e-12
163.143760297   1.45966182406e-12
168.897012579   1.38232652517e-12
174.853152865   1.30894702269e-12
181.019335984   1.23934285991e-12
187.402969081   1.17333835491e-12
194.011720513   1.1107630759e-12
200.853529062   1.05145218576e-12
207.936613467   9.95246677216e-13
215.269482305   9.41993517219e-13
222.860944204   8.91545716138e-13
230.720118428   8.4376233557e-13
238.856445833   7.98508446203e-13
247.279700205   7.55655045609e-13
256.0   7.15078944265e-13
265.027820503   6.76662626831e-13
274.374006409   6.40294094549e-13
284.049784849   6.05866693694e-13
294.066778879   5.73278934168e-13
304.437021441   5.42434301616e-13
315.172969816   5.13241065865e-13
326.287520594   4.85612087951e-13
337.794025158   4.59464627595e-13
349.706305729   4.34720152602e-13
362.038671968   4.11304151377e-13
374.805938162   3.8914594947e-13
388.023441027   3.68178530864e-13
401.707058123   3.48338364544e-13
415.873226934   3.29565236723e-13
430.53896461   3.11802088987e-13
445.721888408   2.9499486253e-13
461.440236857   2.79092348551e-13
477.712891667   2.6404604482e-13
494.55940041   2.49810018389e-13
512.0   2.36340774346e-13
530.055641007   2.23597130513e-13
548.748012819   2.11540097926e-13
568.099569699   2.00132766958e-13
588.133557758   1.8934019888e-13
608.874042881   1.791293227e-13
630.345939633   1.69468837069e-13
652.575041187   1.60329117065e-13
675.588050316   1.51682125653e-13
699.412611458   1.43501329625e-13
724.077343935   1.35761619828e-13
749.611876324   1.28439235477e-13
776.046882053   1.21511692381e-13
803.414116246   1.14957714883e-13
831.746453869   1.08757171353e-13
861.07792922   1.02891013046e-13
891.443776815   9.73412161698e-14
922.880473713   9.20907270089e-14
955.425783334   8.71234099345e-14
989.118800819   8.24239981712e-14
1024.0   7.79780471721e-14
1060.11128201   7.37718904711e-14
1097.49602564   6.97925978836e-14
1136.1991394   6.60279359356e-14
1176.26711552   6.24663304037e-14
1217.74808576   5.90968308568e-14
1260.69187927   5.59090770942e-14
1305.15008237   5.289326738e-14
1351.17610063   5.00401283803e-14
1398.82522292   4.73408867111e-14
1448.15468787   4.47872420143e-14
1499.22375265   4.23713414775e-14
1552.09376411   4.00857557236e-14
1606.82823249   3.79234559958e-14
1663.49290774   3.58777925689e-14
1722.15585844   3.3942474322e-14
1782.88755363   3.21115494099e-14
1845.76094743   3.03793869751e-14
1910.85156667   2.87406598436e-14
1978.23760164   2.71903281528e-14
2048.0   2.57236238612e-14
2120.22256403   2.43360360924e-14
2194.99205127   2.30232972677e-14
2272.39827879   2.17813699877e-14
2352.53423103   2.06064346192e-14
2435.49617153   1.94948775516e-14
2521.38375853   1.84432800867e-14
2610.30016475   1.74484079264e-14
2702.35220126   1.65072012284e-14
2797.65044583   1.56167651966e-14
2896.30937574   1.47743611798e-14
2998.4475053   1.39773982502e-14
3104.18752821   1.32234252354e-14
3213.65646499   1.25101231808e-14
3326.98581548   1.18352982181e-14
3444.31171688   1.11968748184e-14
3565.77510726   1.0592889409e-14
3691.52189485   1.0021484335e-14
3821.70313333   9.48090214589e-15
3956.47520328   8.96948019061e-15
4096.0   8.48564550419e-15
