#z=8.9
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   18.503821546
0.517632461921   18.521008864
0.535886731268   18.5423324719
0.554784736034   18.5690278789
0.574349177499   18.6017038634
0.594603557501   18.5744474983
0.615572206672   19.1281185597
0.63728031366   18.32381295
0.659753955386   18.1260052509
0.683020128377   17.8694029377
0.707106781187   17.4586288053
0.732042847973   16.9550267294
0.757858283255   15.613456389
0.784584097897   14.7163595704
0.812252396356   13.6115733859
0.840896415254   12.2627833288
0.870550563296   10.6296878066
0.901250462611   8.66825856057
0.933032991537   6.33082792973
0.965936328925   3.33624400548
1.0   0.0321678310243
1.03526492384   0.0289434579271
1.07177346254   0.0266427512961
1.10956947207   0.0248844508891
1.148698355   0.0235632851411
1.189207115   0.0225899835829
1.23114441334   0.0218898618481
1.27456062732   0.0214012976778
1.31950791077   0.021074169607
1.36604025675   0.0208683146992
1.41421356237   0.0207520471473
1.46408569595   0.0207007678339
1.51571656651   0.0206956867766
1.56916819579   0.0207226751719
1.62450479271   0.0207712600036
1.68179283051   0.0208337701474
1.74110112659   0.0209046372858
1.80250092522   0.0211339564689
1.86606598307   0.0210565294356
1.93187265785   0.0211326605238
2.0   0.0212068587894
2.07052984768   0.0212782359074
2.14354692507   0.0213462821199
2.21913894414   0.0214107647512
2.29739670999   0.0214716305594
2.37841423001   0.0215289120628
2.46228882669   0.0215826454192
2.54912125464   0.0216328106545
2.63901582155   0.0216793032405
2.73208051351   0.0217219399481
2.82842712475   0.0217604937712
2.92817139189   0.0217947475744
3.03143313302   0.0218244492645
3.13833639159   0.0218491295193
3.24900958542   0.021865993598
3.36358566101   0.0218601365233
3.48220225318   0.0217650477471
3.60500185044   0.0213319146579
3.73213196615   0.019769063335
3.8637453157   0.0135242867297
4.0   3.44266432516e-44
4.14105969537   2.42925424491e-42
4.28709385015   3.90998478361e-40
4.43827788827   4.91836317634e-38
4.59479341999   4.81002514622e-36
4.75682846001   3.66595692511e-34
4.92457765338   2.18955798595e-32
5.09824250928   1.0320516532e-30
5.27803164309   3.86906916474e-29
5.46416102702   1.1632332094e-27
5.65685424949   2.82892209689e-26
5.85634278378   5.61442211309e-25
6.06286626604   9.17518850592e-24
6.27667278317   1.24587443474e-22
6.49801917085   1.41841998505e-21
6.72717132203   1.36615807342e-20
6.96440450637   1.12306677473e-19
7.21000370089   7.94857306459e-19
7.46426393229   4.88461924854e-18
7.7274906314   2.62785367163e-17
8.0   1.24752568462e-16
8.28211939073   5.26612778937e-16
8.57418770029   1.99113719642e-15
8.87655577654   6.79057646981e-15
9.18958683998   2.10274619847e-14
9.51365692002   5.94939534727e-14
9.84915530676   1.54721444252e-13
10.1964850186   3.71933957257e-13
10.5560632862   8.30866735804e-13
10.928322054   1.7335415736e-12
11.313708499   3.39425808074e-12
11.7126855676   6.26506746887e-12
12.1257325321   1.09481421082e-11
12.5533455663   1.81869980017e-11
12.9960383417   2.88319828015e-11
13.4543426441   4.37811281047e-11
13.9288090127   6.39036401882e-11
14.4200074018   8.99578859348e-11
14.9285278646   1.22517220648e-10
15.4549812628   1.61915095389e-10
