#z=6.4
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   31.4240847648
0.517632461921   31.2563119281
0.535886731268   31.0714127385
0.554784736034   30.8341637004
0.574349177499   30.5336611895
0.594603557501   30.1569429019
0.615572206672   29.6893318865
0.63728031366   29.1144276067
0.659753955386   28.4140563809
0.683020128377   27.5732403733
0.707106781187   26.4666158201
0.732042847973   25.1240739027
0.757858283255   22.8223546338
0.784584097897   21.055486059
0.812252396356   19.0232869264
0.840896415254   16.7026700974
0.870550563296   14.0719555892
0.901250462611   11.1116037815
0.933032991537   7.80499434515
0.965936328925   4.13944967495
1.0   0.0865431625659
1.03526492384   0.0757764353318
1.07177346254   0.0693716474673
1.10956947207   0.064466543185
1.148698355   0.0607546267742
1.189207115   0.0579808401637
1.23114441334   0.0559355474504
1.27456062732   0.054448647366
1.31950791077   0.0533839573421
1.36604025675   0.0526339707208
1.41421356237   0.0521150520392
1.46408569595   0.0517631078477
1.51571656651   0.051529752561
1.56916819579   0.0513789777929
1.62450479271   0.0512843253213
1.68179283051   0.0512265542
1.74110112659   0.0511917791425
1.80250092522   0.0526755283963
1.86606598307   0.0511542457455
1.93187265785   0.0511394155829
2.0   0.0511221447451
2.07052984768   0.0511002111398
2.14354692507   0.051072265124
2.21913894414   0.051037560473
2.29739670999   0.0509957105494
2.37841423001   0.0509464741079
2.46228882669   0.0508895859996
2.54912125464   0.0508246406691
2.63901582155   0.0507509914515
2.73208051351   0.050667708487
2.82842712475   0.0505710123564
2.92817139189   0.0504555432155
3.03143313302   0.0502424480246
3.13833639159   0.049885951596
3.24900958542   0.0491583486336
3.36358566101   0.0476382412353
3.48220225318   0.0445619450177
3.60500185044   0.0386729565996
3.73213196615   0.0280862316059
3.8637453157   0.0102155631894
4.0   1.68497699942e-22
4.14105969537   2.19989757546e-22
4.28709385015   2.13188868926e-21
4.43827788827   1.90138880845e-20
4.59479341999   1.54201163128e-19
4.75682846001   1.13317844528e-18
4.92457765338   7.54470579294e-18
5.09824250928   4.55663677598e-17
5.27803164309   2.50093324554e-16
5.46416102702   1.25018222347e-15
5.65685424949   5.70599797864e-15
5.85634278378   2.38420117007e-14
6.06286626604   9.14637461523e-14
6.27667278317   3.23112219038e-13
6.49801917085   1.05440654818e-12
6.72717132203   3.1886086534e-12
6.96440450637   8.96489662949e-12
7.21000370089   2.35107428038e-11
7.46426393229   5.77024006081e-11
7.7274906314   1.3296931321e-10
8.0   2.88634419827e-10
8.28211939073   5.92067417294e-10
8.57418770029   1.1512758491e-09
8.87655577654   2.12862015868e-09
9.18958683998   3.75332010248e-09
9.51365692002   6.32965732192e-09
9.84915530676   1.02376357929e-08
10.1964850186   1.59235796458e-08
10.5560632862   2.38797132391e-08
10.928322054   3.46138674587e-08
11.313708499   4.86125524986e-08
11.7126855676   6.63021526105e-08
12.1257325321   8.80135193548e-08
12.5533455663   1.13954658249e-07
12.9960383417   1.44194729527e-07
13.4543426441   1.78660641216e-07
13.9288090127   2.17145578529e-07
14.4200074018   2.59327271928e-07
14.9285278646   3.04792869895e-07
15.4549812628   3.53066986142e-07
16.0   4.03639735001e-07
16.5642387815   4.55992181743e-07
17.1483754006   5.0961743076e-07
17.7531115531   5.64036393022e-07
18.37917368   6.18807999612e-07
