#z=3.7
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   27.5993937285
0.517632461921   27.0366649311
0.535886731268   26.4419509678
0.554784736034   25.7673087814
0.574349177499   25.0082308592
0.594603557501   24.1609345018
0.615572206672   23.2204999392
0.63728031366   22.1316356359
0.659753955386   20.9985201417
0.683020128377   19.774136155
0.707106781187   18.459888202
0.732042847973   16.8715213646
0.757858283255   14.9034920271
0.784584097897   13.2999267616
0.812252396356   11.6213202966
0.840896415254   9.87315693971
0.870550563296   8.01453244644
0.901250462611   6.13873144912
0.933032991537   4.2169737404
0.965936328925   2.24709654151
1.0   0.157503162599
1.03526492384   0.140737788907
1.07177346254   0.130096560483
1.10956947207   0.121791121232
1.148698355   0.115316327079
1.189207115   0.110260096019
1.23114441334   0.106290460553
1.27456062732   0.10314346517
1.31950791077   0.10061206641
1.36604025675   0.0985361284386
1.41421356237   0.0967935574374
1.46408569595   0.095292582242
1.51571656651   0.0939651623226
1.56916819579   0.0927614817907
1.62450479271   0.0916454654729
1.68179283051   0.0905912287931
1.74110112659   0.0895803490272
1.80250092522   0.09046267618
1.86606598307   0.0876405797351
1.93187265785   0.0866963722492
2.0   0.0857630496255
2.07052984768   0.0848378707052
2.14354692507   0.0839196792828
2.21913894414   0.0830104079265
2.29739670999   0.0821241418701
2.37841423001   0.081331877155
2.46228882669   0.0807969844725
2.54912125464   0.080682958994
2.63901582155   0.0811046164138
2.73208051351   0.0826333231216
2.82842712475   0.0847893287516
2.92817139189   0.0880303924389
3.03143313302   0.0687087609825
3.13833639159   0.0647711894316
3.24900958542   0.0599458138024
3.36358566101   0.0540440029759
3.48220225318   0.0458794378024
3.60500185044   0.0369376851955
3.73213196615   0.0263381379723
3.8637453157   0.013955989328
4.0   0.00172776735455
4.14105969537   0.00110193971902
4.28709385015   0.000898709310245
4.43827788827   0.000823678471458
4.59479341999   0.000790166743335
4.75682846001   0.000769544896397
4.92457765338   0.000752763885961
5.09824250928   0.000737095654503
5.27803164309   0.000721764182205
5.46416102702   0.000706571459593
5.65685424949   0.000691485656541
5.85634278378   0.000676523401857
