#z=8.45
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   21.2652434091
0.517632461921   21.2859425275
0.535886731268   21.3115741443
0.554784736034   21.3428145904
0.574349177499   1442.4466564
0.594603557501   21.1202501109
0.615572206672   20.963930421
0.63728031366   20.7540585971
0.659753955386   20.433453462
0.683020128377   20.0710930162
0.707106781187   19.5951673081
0.732042847973   18.9337370573
0.757858283255   17.3641820751
0.784584097897   16.2821401907
0.812252396356   14.9691229548
0.840896415254   13.3882843861
0.870550563296   11.4993874405
0.901250462611   9.10502804125
0.933032991537   6.4438928746
0.965936328925   3.34490745985
1.0   0.0412561684179
1.03526492384   0.0360251816538
1.07177346254   0.0330997688574
1.10956947207   0.0308617737339
1.148698355   0.0291763765121
1.189207115   0.0279297113644
1.23114441334   0.0270268726882
1.27456062732   0.0263898242244
1.31950791077   0.025955297005
1.36604025675   0.0256727425605
1.41421356237   0.0255023895559
1.46408569595   0.025413437468
1.51571656651   0.0253824108642
1.56916819579   0.0253916915116
1.62450479271   0.0254282410332
1.68179283051   0.0254825220091
1.74110112659   0.0255476187037
1.80250092522   0.0264857136075
1.86606598307   0.0256917529942
1.93187265785   0.0257647186606
2.0   0.0258357286079
2.07052984768   0.0259036722603
2.14354692507   0.0259679022728
2.21913894414   0.0260281078973
2.29739670999   0.0260841943064
2.37841423001   0.0261361682192
2.46228882669   0.0261840390226
2.54912125464   0.0262277481769
2.63901582155   0.0262671371706
2.73208051351   0.0263019565391
2.82842712475   0.0263319053558
2.92817139189   0.0263566590062
3.03143313302   0.0263753107219
3.13833639159   0.0263845486808
3.24900958542   0.0263678109833
3.36358566101   0.0262571134212
3.48220225318   0.0258148620999
3.60500185044   0.0239109501336
3.73213196615   0.018748966714
3.8637453157   0.0053884188825
4.0   1.01764203009e-39
4.14105969537   1.63939426462e-39
4.28709385015   1.7862326422e-37
4.43827788827   1.5598851651e-35
4.59479341999   1.0845895995e-33
4.75682846001   6.01097371859e-32
4.92457765338   2.66707719407e-30
5.09824250928   9.52994516029e-29
5.27803164309   2.76065514216e-27
5.46416102702   6.53021221032e-26
5.65685424949   1.27092278637e-24
5.85634278378   2.05108127702e-23
6.06286626604   2.76687040325e-22
6.27667278317   3.1452198916e-21
6.49801917085   3.03737717661e-20
6.72717132203   2.51218148567e-19
6.96440450637   1.79388163182e-18
7.21000370089   1.11470301572e-17
7.46426393229   6.07445149387e-17
7.7274906314   2.92488469862e-16
8.0   1.25352453421e-15
8.28211939073   4.81541390463e-15
8.57418770029   1.66932942263e-14
8.87655577654   5.25604981488e-14
9.18958683998   1.51235667943e-13
9.51365692002   4.00000838344e-13
9.84915530676   9.77872235037e-13
10.1964850186   2.22122492592e-12
10.5560632862   4.71134326883e-12
10.928322054   9.375113269e-12
11.313708499   1.75800068729e-11
11.7126855676   3.11964617748e-11
12.1257325321   5.25991059177e-11
12.5533455663   8.45858739345e-11
12.9960383417   1.30210347586e-10
13.4543426441   1.92543217003e-10
13.9288090127   2.74396946585e-10
14.4200074018   3.78057498469e-10
14.9285278646   5.05065472361e-10
15.4549812628   6.56077530718e-10
16.0   8.3082184314e-10
16.5642387815   1.02814379366e-09
17.1483754006   1.24612456945e-09
17.7531115531   1.48224759446e-09
18.37917368   1.73358611137e-09
19.02731384   1.9969881904e-09
19.6983106135   2.26924116398e-09
20.3929700371   2.5472041716e-09
21.1121265724   2.82790382972e-09
21.8566441081   3.10859322878e-09
22.627416998   3.38677818168e-09
23.4253711351   3.66021691498e-09
24.2514650642   3.92690041339e-09
25.1066911327   4.18502069682e-09
25.9920766834   4.43293373018e-09
26.9086852881   4.66912270333e-09
27.8576180255   4.89216626707e-09
28.8400148035   5.10071509891e-09
29.8570557292   5.29347896997e-09
30.9099625256   5.4692253221e-09
32.0   5.62678925801e-09
33.1284775629   5.7650938137e-09
34.2967508012   5.88317845353e-09
35.5062231062   5.98023295772e-09
36.7583473599   6.05563332658e-09
38.0546276801   6.10897607507e-09
39.396621227   6.14010738606e-09
40.7859400742   6.14914404394e-09
42.2242531447   6.1364838457e-09
43.7132882161   6.10280419449e-09
45.2548339959   6.04904869509e-09
46.8507422703   5.97640264765e-09
48.5029301283   5.88625924458e-09
50.2133822654   5.7801789178e-09
