#z=5.15
#nu (Ryd)        Jnu (10^-21 erg s^-1 cm^-2 Hz^-1 sr^-1)
0.5   33.6448312463
0.517632461921   33.3411309414
0.535886731268   32.9845890649
0.554784736034   32.5511982038
0.574349177499   32.0290473213
0.594603557501   31.3358049073
0.615572206672   30.5895709679
0.63728031366   29.7146696789
0.659753955386   28.6968209894
0.683020128377   27.5233085572
0.707106781187   26.1803967605
0.732042847973   24.4928459206
0.757858283255   22.0501106965
0.784584097897   20.0661263901
0.812252396356   17.8739035759
0.840896415254   15.3393327774
0.870550563296   12.7190670169
0.901250462611   9.89198663902
0.933032991537   6.86132661503
0.965936328925   3.63448716677
1.0   0.115716635959
1.03526492384   0.10318452921
1.07177346254   0.0947035763697
1.10956947207   0.0881944345843
1.148698355   0.0832442208754
1.189207115   0.0795120655612
1.23114441334   0.0767200040481
1.27456062732   0.074644260065
1.31950791077   0.0731070829635
1.36604025675   0.0719692467081
1.41421356237   0.0711232730081
1.46408569595   0.0704874086155
1.51571656651   0.0700003657928
1.56916819579   0.0696168208777
1.62450479271   0.069303653299
1.68179283051   0.069036892039
1.74110112659   0.068799316849
1.80250092522   0.0695485681844
1.86606598307   0.0683661685666
1.93187265785   0.0681558540554
2.0   0.0679435967495
2.07052984768   0.0677267337522
2.14354692507   0.0675036250624
2.21913894414   0.0672733009425
2.29739670999   0.0670351552329
2.37841423001   0.066788624583
2.46228882669   0.0665330748397
2.54912125464   0.0662675628402
2.63901582155   0.0659914224566
2.73208051351   0.06571810529
2.82842712475   0.0654701009199
2.92817139189   0.0653714184302
3.03143313302   0.0639694990453
3.13833639159   0.0627400070021
3.24900958542   0.0607417070171
3.36358566101   0.0569620339818
3.48220225318   0.0515798069555
3.60500185044   0.0434986924996
3.73213196615   0.0318367140241
3.8637453157   0.015642164213
4.0   3.50957429998e-08
4.14105969537   3.76344149119e-08
4.28709385015   5.08932071375e-08
4.43827788827   6.98270621539e-08
4.59479341999   9.55820595053e-08
4.75682846001   1.2976322179e-07
4.92457765338   1.74396279466e-07
5.09824250928   2.31906459842e-07
5.27803164309   3.05101552846e-07
5.46416102702   3.97147974524e-07
5.65685424949   5.11531204051e-07
5.85634278378   6.51994948767e-07
6.06286626604   8.22456406202e-07
6.27667278317   1.02689800477e-06
6.49801917085   1.26923898712e-06
6.72717132203   1.55319301121e-06
6.96440450637   1.88212031047e-06
7.21000370089   2.25888452276e-06
7.46426393229   2.68572472606e-06
7.7274906314   3.16415230076e-06
8.0   3.69488001027e-06
8.28211939073   4.27778748198e-06
8.57418770029   4.91192365798e-06
8.87655577654   5.59554343914e-06
9.18958683998   6.32617323917e-06
9.51365692002   7.10069879409e-06
9.84915530676   7.91546830249e-06
10.1964850186   8.76640449448e-06
10.5560632862   9.64912011061e-06
10.928322054   1.05590321277e-05
11.313708499   1.14914706696e-05
11.7126855676   1.24417788551e-05
12.1257325321   1.34053999799e-05
12.5533455663   1.43779486087e-05
12.9960383417   1.53552625385e-05
13.4543426441   1.63334333241e-05
13.9288090127   1.73088141405e-05
14.4200074018   1.8278005134e-05
14.9285278646   1.92378179532e-05
15.4549812628   2.01852226584e-05
16.0   2.11172815418e-05
16.5642387815   2.20310753783e-05
17.1483754006   2.29236281775e-05
17.7531115531   2.37918365611e-05
18.37917368   2.4632409439e-05
19.02731384   2.54418228009e-05
19.6983106135   2.6216293301e-05
20.3929700371   2.69517730917e-05
21.1121265724   2.76439671941e-05
21.8566441081   2.82883736816e-05
22.627416998   2.88803460856e-05
23.4253711351   2.94151766387e-05
24.2514650642   2.98881981647e-05
25.1066911327   3.02949015258e-05
25.9920766834   3.06310645479e-05
26.9086852881   3.08928873251e-05
27.8576180255   3.10771278793e-05
28.8400148035   3.11812314671e-05
29.8570557292   3.12034465303e-05
30.9099625256   3.11429204845e-05
32.0   3.09997692797e-05
33.1284775629   3.07751159369e-05
34.2967508012   3.04710949815e-05
35.5062231062   3.00908217268e-05
36.7583473599   2.96383275349e-05
38.0546276801   2.91184642989e-05
39.396621227   2.853678325e-05
40.7859400742   2.78993946229e-05
42.2242531447   2.72128155789e-05
43.7132882161   2.64838140401e-05
45.2548339959   2.57192557261e-05
46.8507422703   2.49259608129e-05
48.5029301283   2.41105753706e-05
50.2133822654   2.3279461263e-05
51.9841533668   2.24386066645e-05
53.8173705762   2.15935579148e-05
55.715236051   2.07493721992e-05
57.6800296071   1.9910589573e-05
59.7141114584   1.9081222165e-05
61.8199250512   1.82647579903e-05
64.0   1.74641766398e-05
66.2569551258   1.6681974147e-05
68.5935016023   1.5920194507e-05
71.0124462123   1.51804655973e-05
73.5166947198   1.44640375677e-05
76.1092553602   1.37718221104e-05
78.7932424541   1.31044313484e-05
81.5718801484   1.24622153874e-05
84.4485062895   1.18452978454e-05
87.4265764323   1.12536089028e-05
90.5096679919   1.06869156028e-05
93.7014845405   1.01448492847e-05
97.0058602567   9.62693014242e-06
100.426764531   9.1325889892e-06
103.968306734   8.66118636665e-06
107.634741152   8.21202917477e-06
111.430472102   7.78438502318e-06
115.360059214   7.3774945128e-06
119.428222917   6.99058165851e-06
123.639850102   6.62286265731e-06
128.0   6.27355319608e-06
132.513910252   5.94187447989e-06
137.187003205   5.62705814719e-06
142.024892425   5.32835022242e-06
147.03338944   5.04501424166e-06
152.21851072   4.77633367162e-06
157.586484908   4.52161372864e-06
163.143760297   4.2801826911e-06
168.897012579   4.0513927868e-06
174.853152865   3.83462072606e-06
181.019335984   3.62926794175e-06
187.402969081   3.43476058871e-06
194.011720513   3.25054934762e-06
200.853529062   3.07610907157e-06
207.936613467   2.91093830792e-06
215.269482305   2.75455872298e-06
222.860944204   2.60651445259e-06
230.720118428   2.46637139798e-06
238.856445833   2.33371648314e-06
247.279700205   2.20815688707e-06
256.0   2.08931926197e-06
265.027820503   1.97684894635e-06
274.374006409   1.87040918051e-06
284.049784849   1.76968033021e-06
294.066778879   1.67435912334e-06
304.437021441   1.58415790311e-06
315.172969816   1.49880390073e-06
326.287520594   1.4180385297e-06
337.794025158   1.34161670306e-06
349.706305729   1.26930617492e-06
362.038671968   1.20088690669e-06
374.805938162   1.1361504584e-06
388.023441027   1.07489940515e-06
401.707058123   1.01694677852e-06
415.873226934   9.62115532611e-07
430.53896461   9.10238034224e-07
445.721888408   8.61155576553e-07
461.440236857   8.14717915821e-07
477.712891667   7.70782830067e-07
494.55940041   7.29215699363e-07
512.0   6.89889106649e-07
530.055641007   6.52682458407e-07
548.748012819   6.17481624358e-07
568.099569699   5.84178595376e-07
588.133557758   5.52671158841e-07
608.874042881   5.22862590623e-07
630.345939633   4.94661362966e-07
652.575041187   4.67980867503e-07
675.588050316   4.42739152697e-07
699.412611458   4.18858675001e-07
724.077343935   3.96266063077e-07
749.611876324   3.74891894412e-07
776.046882053   3.54670483732e-07
803.414116246   3.35539682593e-07
831.746453869   3.1744068961e-07
861.07792922   3.00317870749e-07
